Gene,SetType,DiseaseType
9625,disease,Syndrome5
80325,disease,Syndrome5
95,disease,Syndrome5
8728,disease,Syndrome5
84830,disease,Syndrome5
121536,disease,Syndrome5
178,disease,Syndrome5
204,disease,Syndrome5
50808,disease,Syndrome5
26289,disease,Syndrome5
122481,disease,Syndrome5
158067,disease,Syndrome5
221264,disease,Syndrome5
8644,disease,Syndrome5
210,disease,Syndrome5
29880,disease,Syndrome5
121642,disease,Syndrome5
54784,disease,Syndrome5
262,disease,Syndrome5
279,disease,Syndrome5
51378,disease,Syndrome5
287,disease,Syndrome5
288,disease,Syndrome5
728780,disease,Syndrome5
51479,disease,Syndrome5
255239,disease,Syndrome5
253650,disease,Syndrome5
441459,disease,Syndrome5
26287,disease,Syndrome5
441430,disease,Syndrome5
728747,disease,Syndrome5
200539,disease,Syndrome5
170961,disease,Syndrome5
22852,disease,Syndrome5
84079,disease,Syndrome5
23243,disease,Syndrome5
91074,disease,Syndrome5
374860,disease,Syndrome5
554226,disease,Syndrome5
148741,disease,Syndrome5
375248,disease,Syndrome5
400986,disease,Syndrome5
51239,disease,Syndrome5
338699,disease,Syndrome5
91526,disease,Syndrome5
157567,disease,Syndrome5
54851,disease,Syndrome5
57182,disease,Syndrome5
283373,disease,Syndrome5
79998,disease,Syndrome5
129138,disease,Syndrome5
79722,disease,Syndrome5
22881,disease,Syndrome5
140731,disease,Syndrome5
100310846,disease,Syndrome5
100131244,disease,Syndrome5
441869,disease,Syndrome5
100287718,disease,Syndrome5
56311,disease,Syndrome5
122416,disease,Syndrome5
23294,disease,Syndrome5
56899,disease,Syndrome5
124401,disease,Syndrome5
203286,disease,Syndrome5
327,disease,Syndrome5
54840,disease,Syndrome5
55082,disease,Syndrome5
8874,disease,Syndrome5
51665,disease,Syndrome5
136371,disease,Syndrome5
140456,disease,Syndrome5
142689,disease,Syndrome5
79754,disease,Syndrome5
142686,disease,Syndrome5
142685,disease,Syndrome5
92591,disease,Syndrome5
401036,disease,Syndrome5
51666,disease,Syndrome5
140458,disease,Syndrome5
140459,disease,Syndrome5
140460,disease,Syndrome5
140461,disease,Syndrome5
140462,disease,Syndrome5
432,disease,Syndrome5
374569,disease,Syndrome5
54829,disease,Syndrome5
136991,disease,Syndrome5
23300,disease,Syndrome5
506,disease,Syndrome5
64919,disease,Syndrome5
255877,disease,Syndrome5
649,disease,Syndrome5
121551,disease,Syndrome5
689,disease,Syndrome5
730,disease,Syndrome5
377677,disease,Syndrome5
11131,disease,Syndrome5
825,disease,Syndrome5
388743,disease,Syndrome5
830,disease,Syndrome5
79092,disease,Syndrome5
9607,disease,Syndrome5
57524,disease,Syndrome5
57513,disease,Syndrome5
873,disease,Syndrome5
126075,disease,Syndrome5
966,disease,Syndrome5
971,disease,Syndrome5
10658,disease,Syndrome5
10669,disease,Syndrome5
1106,disease,Syndrome5
1113,disease,Syndrome5
140578,disease,Syndrome5
1137,disease,Syndrome5
6320,disease,Syndrome5
160364,disease,Syndrome5
387837,disease,Syndrome5
728276,disease,Syndrome5
51267,disease,Syndrome5
51266,disease,Syndrome5
387836,disease,Syndrome5
29121,disease,Syndrome5
154790,disease,Syndrome5
10143,disease,Syndrome5
339390,disease,Syndrome5
10332,disease,Syndrome5
23601,disease,Syndrome5
93978,disease,Syndrome5
