Gene,SetType,DiseaseType
1,disease,Syndrome4
29974,disease,Syndrome4
144568,disease,Syndrome4
16,disease,Syndrome4
18,disease,Syndrome4
19,disease,Syndrome4
10349,disease,Syndrome4
26154,disease,Syndrome4
154664,disease,Syndrome4
20,disease,Syndrome4
21,disease,Syndrome4
24,disease,Syndrome4
23461,disease,Syndrome4
10347,disease,Syndrome4
10350,disease,Syndrome4
23456,disease,Syndrome4
22885,disease,Syndrome4
34,disease,Syndrome4
84320,disease,Syndrome4
51,disease,Syndrome4
52,disease,Syndrome4
55,disease,Syndrome4
93650,disease,Syndrome4
54,disease,Syndrome4
390928,disease,Syndrome4
49,disease,Syndrome4
64431,disease,Syndrome4
8038,disease,Syndrome4
54507,disease,Syndrome4
23536,disease,Syndrome4
283383,disease,Syndrome4
347088,disease,Syndrome4
2015,disease,Syndrome4
30817,disease,Syndrome4
84658,disease,Syndrome4
266977,disease,Syndrome4
222611,disease,Syndrome4
165082,disease,Syndrome4
221393,disease,Syndrome4
221395,disease,Syndrome4
10149,disease,Syndrome4
222487,disease,Syndrome4
139378,disease,Syndrome4
221188,disease,Syndrome4
57211,disease,Syndrome4
84873,disease,Syndrome4
22859,disease,Syndrome4
23266,disease,Syndrome4
23284,disease,Syndrome4
64123,disease,Syndrome4
124,disease,Syndrome4
23394,disease,Syndrome4
56985,disease,Syndrome4
146,disease,Syndrome4
150,disease,Syndrome4
153,disease,Syndrome4
154,disease,Syndrome4
122622,disease,Syndrome4
175,disease,Syndrome4
79814,disease,Syndrome4
189,disease,Syndrome4
64902,disease,Syndrome4
10768,disease,Syndrome4
197,disease,Syndrome4
51390,disease,Syndrome4
9590,disease,Syndrome4
79647,disease,Syndrome4
216,disease,Syndrome4
217,disease,Syndrome4
223,disease,Syndrome4
84920,disease,Syndrome4
79868,disease,Syndrome4
199857,disease,Syndrome4
285016,disease,Syndrome4
7840,disease,Syndrome4
57463,disease,Syndrome4
196394,disease,Syndrome4
276,disease,Syndrome4
278,disease,Syndrome4
279,disease,Syndrome4
10393,disease,Syndrome4
29945,disease,Syndrome4
285,disease,Syndrome4
55908,disease,Syndrome4
57037,disease,Syndrome4
314,disease,Syndrome4
162,disease,Syndrome4
10947,disease,Syndrome4
9546,disease,Syndrome4
147495,disease,Syndrome4
333,disease,Syndrome4
338,disease,Syndrome4
344,disease,Syndrome4
319,disease,Syndrome4
350,disease,Syndrome4
81575,disease,Syndrome4
351,disease,Syndrome4
55198,disease,Syndrome4
282679,disease,Syndrome4
10565,disease,Syndrome4
383,disease,Syndrome4
9824,disease,Syndrome4
201176,disease,Syndrome4
2909,disease,Syndrome4
9912,disease,Syndrome4
23526,disease,Syndrome4
397,disease,Syndrome4
196528,disease,Syndrome4
54622,disease,Syndrome4
64860,disease,Syndrome4
56938,disease,Syndrome4
27106,disease,Syndrome4
420,disease,Syndrome4
421,disease,Syndrome4
440,disease,Syndrome4
151516,disease,Syndrome4
79058,disease,Syndrome4
28990,disease,Syndrome4
89849,disease,Syndrome4
23130,disease,Syndrome4
79065,disease,Syndrome4
51062,disease,Syndrome4
64225,disease,Syndrome4
27032,disease,Syndrome4
506,disease,Syndrome4
90423,disease,Syndrome4
549,disease,Syndrome4
566,disease,Syndrome4
145173,disease,Syndrome4
54971,disease,Syndrome4
166379,disease,Syndrome4
583,disease,Syndrome4
129880,disease,Syndrome4
27241,disease,Syndrome4
9564,disease,Syndrome4
590,disease,Syndrome4
622,disease,Syndrome4
56898,disease,Syndrome4
55859,disease,Syndrome4
51283,disease,Syndrome4
112401,disease,Syndrome4
54841,disease,Syndrome4
282991,disease,Syndrome4
154743,disease,Syndrome4
664,disease,Syndrome4
100528007,disease,Syndrome4
29117,disease,Syndrome4
8927,disease,Syndrome4
100131137,disease,Syndrome4
121551,disease,Syndrome4
91408,disease,Syndrome4
56913,disease,Syndrome4
29071,disease,Syndrome4
51279,disease,Syndrome4
716,disease,Syndrome4
717,disease,Syndrome4
25966,disease,Syndrome4
145741,disease,Syndrome4
9847,disease,Syndrome4
720,disease,Syndrome4
721,disease,Syndrome4
731,disease,Syndrome4
732,disease,Syndrome4
10369,disease,Syndrome4
57662,disease,Syndrome4
138199,disease,Syndrome4
844,disease,Syndrome4
845,disease,Syndrome4
347732,disease,Syndrome4
8436,disease,Syndrome4
874,disease,Syndrome4
84869,disease,Syndrome4
90693,disease,Syndrome4
165055,disease,Syndrome4
80071,disease,Syndrome4
154467,disease,Syndrome4
149483,disease,Syndrome4
84660,disease,Syndrome4
26112,disease,Syndrome4
83446,disease,Syndrome4
60494,disease,Syndrome4
55704,disease,Syndrome4
80212,disease,Syndrome4
885,disease,Syndrome4
1234,disease,Syndrome4
977,disease,Syndrome4
914,disease,Syndrome4
80381,disease,Syndrome4
9936,disease,Syndrome4
915,disease,Syndrome4
920,disease,Syndrome4
4179,disease,Syndrome4
966,disease,Syndrome4
924,disease,Syndrome4
975,disease,Syndrome4
22918,disease,Syndrome4
994,disease,Syndrome4
55664,disease,Syndrome4
79577,disease,Syndrome4
29965,disease,Syndrome4
51755,disease,Syndrome4
54901,disease,Syndrome4
30850,disease,Syndrome4
1056,disease,Syndrome4
63036,disease,Syndrome4
51032,disease,Syndrome4
23436,disease,Syndrome4
23670,disease,Syndrome4
1060,disease,Syndrome4
201254,disease,Syndrome4
145508,disease,Syndrome4
9662,disease,Syndrome4
283638,disease,Syndrome4
55165,disease,Syndrome4
23177,disease,Syndrome4
80321,disease,Syndrome4
55722,disease,Syndrome4
84902,disease,Syndrome4
91012,disease,Syndrome4
144406,disease,Syndrome4
56683,disease,Syndrome4
629,disease,Syndrome4
55997,disease,Syndrome4
653275,disease,Syndrome4
1675,disease,Syndrome4
3426,disease,Syndrome4
84952,disease,Syndrome4
400916,disease,Syndrome4
1116,disease,Syndrome4
1119,disease,Syndrome4
386593,disease,Syndrome4
1122,disease,Syndrome4
79586,disease,Syndrome4
89832,disease,Syndrome4
1136,disease,Syndrome4
8973,disease,Syndrome4
55584,disease,Syndrome4
1140,disease,Syndrome4
1141,disease,Syndrome4
1142,disease,Syndrome4
1143,disease,Syndrome4
166012,disease,Syndrome4
51363,disease,Syndrome4
63922,disease,Syndrome4
54921,disease,Syndrome4
63924,disease,Syndrome4
23562,disease,Syndrome4
7461,disease,Syndrome4
1203,disease,Syndrome4
10845,disease,Syndrome4
9337,disease,Syndrome4
11064,disease,Syndrome4
22837,disease,Syndrome4
8161,disease,Syndrome4
150684,disease,Syndrome4
51397,disease,Syndrome4
54951,disease,Syndrome4
51138,disease,Syndrome4
51805,disease,Syndrome4
10699,disease,Syndrome4
10391,disease,Syndrome4
1353,disease,Syndrome4
90639,disease,Syndrome4
116228,disease,Syndrome4
79974,disease,Syndrome4
221184,disease,Syndrome4
286204,disease,Syndrome4
64764,disease,Syndrome4
9419,disease,Syndrome4
51379,disease,Syndrome4
1427,disease,Syndrome4
9946,disease,Syndrome4
1435,disease,Syndrome4
1438,disease,Syndrome4
1439,disease,Syndrome4
1442,disease,Syndrome4
1445,disease,Syndrome4
751071,disease,Syndrome4
80169,disease,Syndrome4
1491,disease,Syndrome4
115908,disease,Syndrome4
1495,disease,Syndrome4
440387,disease,Syndrome4
11330,disease,Syndrome4
1506,disease,Syndrome4
1075,disease,Syndrome4
1509,disease,Syndrome4
1511,disease,Syndrome4
1512,disease,Syndrome4
1513,disease,Syndrome4
1521,disease,Syndrome4
1522,disease,Syndrome4
8029,disease,Syndrome4
404093,disease,Syndrome4
50624,disease,Syndrome4
7852,disease,Syndrome4
1528,disease,Syndrome4
54876,disease,Syndrome4
55827,disease,Syndrome4
131566,disease,Syndrome4
51473,disease,Syndrome4
196513,disease,Syndrome4
26063,disease,Syndrome4
54849,disease,Syndrome4
1676,disease,Syndrome4
1677,disease,Syndrome4
8694,disease,Syndrome4
54487,disease,Syndrome4
573971,disease,Syndrome4
115817,disease,Syndrome4
147015,disease,Syndrome4
10202,disease,Syndrome4
10901,disease,Syndrome4
25979,disease,Syndrome4
201140,disease,Syndrome4
27121,disease,Syndrome4
10683,disease,Syndrome4
54567,disease,Syndrome4
1750,disease,Syndrome4
1657,disease,Syndrome4
23312,disease,Syndrome4
144132,disease,Syndrome4
30836,disease,Syndrome4
80005,disease,Syndrome4
220164,disease,Syndrome4
22845,disease,Syndrome4
23033,disease,Syndrome4
285381,disease,Syndrome4
10589,disease,Syndrome4
29940,disease,Syndrome4
112487,disease,Syndrome4
1837,disease,Syndrome4
56986,disease,Syndrome4
84332,disease,Syndrome4
89891,disease,Syndrome4
1874,disease,Syndrome4
11319,disease,Syndrome4
10455,disease,Syndrome4
60401,disease,Syndrome4
1906,disease,Syndrome4
1909,disease,Syndrome4
221143,disease,Syndrome4
399818,disease,Syndrome4
25895,disease,Syndrome4
388795,disease,Syndrome4
23167,disease,Syndrome4
51162,disease,Syndrome4
9538,disease,Syndrome4
126272,disease,Syndrome4
8894,disease,Syndrome4
9470,disease,Syndrome4
1991,disease,Syndrome4
2000,disease,Syndrome4
255520,disease,Syndrome4
64834,disease,Syndrome4
83401,disease,Syndrome4
64100,disease,Syndrome4
2012,disease,Syndrome4
10495,disease,Syndrome4
5167,disease,Syndrome4
5168,disease,Syndrome4
5169,disease,Syndrome4
22875,disease,Syndrome4
133121,disease,Syndrome4
956,disease,Syndrome4
2053,disease,Syndrome4
55040,disease,Syndrome4
2059,disease,Syndrome4
64787,disease,Syndrome4
54586,disease,Syndrome4
51290,disease,Syndrome4
2081,disease,Syndrome4
90952,disease,Syndrome4
11082,disease,Syndrome4
55500,disease,Syndrome4
55224,disease,Syndrome4
84141,disease,Syndrome4
59271,disease,Syndrome4
55770,disease,Syndrome4
60412,disease,Syndrome4
10640,disease,Syndrome4
54536,disease,Syndrome4
11340,disease,Syndrome4
5393,disease,Syndrome4
2159,disease,Syndrome4
50848,disease,Syndrome4
2161,disease,Syndrome4
2162,disease,Syndrome4
2158,disease,Syndrome4
92689,disease,Syndrome4
81558,disease,Syndrome4
150864,disease,Syndrome4
54954,disease,Syndrome4
57579,disease,Syndrome4
51306,disease,Syndrome4
26355,disease,Syndrome4
221061,disease,Syndrome4
345757,disease,Syndrome4
283635,disease,Syndrome4
8603,disease,Syndrome4
54540,disease,Syndrome4
200232,disease,Syndrome4
388799,disease,Syndrome4
54757,disease,Syndrome4
9917,disease,Syndrome4
84915,disease,Syndrome4
9130,disease,Syndrome4
51307,disease,Syndrome4
81610,disease,Syndrome4
25940,disease,Syndrome4
283742,disease,Syndrome4
22909,disease,Syndrome4
2187,disease,Syndrome4
10160,disease,Syndrome4
9855,disease,Syndrome4
79675,disease,Syndrome4
22868,disease,Syndrome4
2199,disease,Syndrome4
129804,disease,Syndrome4
84467,disease,Syndrome4
25827,disease,Syndrome4
26233,disease,Syndrome4
26267,disease,Syndrome4
80204,disease,Syndrome4
26232,disease,Syndrome4
26260,disease,Syndrome4
23219,disease,Syndrome4
150726,disease,Syndrome4
93611,disease,Syndrome4
26270,disease,Syndrome4
84261,disease,Syndrome4
2204,disease,Syndrome4
2207,disease,Syndrome4
9873,disease,Syndrome4
9637,disease,Syndrome4
2255,disease,Syndrome4
143282,disease,Syndrome4
