Gene,SetType,DiseaseType
390,drug_overlap,Syndrome2
1452,drug_overlap,Syndrome2
2177,drug_overlap,Syndrome2
2669,drug_overlap,Syndrome2
4893,drug_overlap,Syndrome2
7298,drug_overlap,Syndrome2
23433,drug_overlap,Syndrome2
51552,drug_overlap,Syndrome2
377,drug_overlap,Syndrome2
379,drug_overlap,Syndrome2
381,drug_overlap,Syndrome2
391,drug_overlap,Syndrome2
5764,drug_overlap,Syndrome2
5862,drug_overlap,Syndrome2
5880,drug_overlap,Syndrome2
5898,drug_overlap,Syndrome2
5899,drug_overlap,Syndrome2
5906,drug_overlap,Syndrome2
5908,drug_overlap,Syndrome2
5911,drug_overlap,Syndrome2
5912,drug_overlap,Syndrome2
6009,drug_overlap,Syndrome2
6014,drug_overlap,Syndrome2
6016,drug_overlap,Syndrome2
6236,drug_overlap,Syndrome2
6237,drug_overlap,Syndrome2
6361,drug_overlap,Syndrome2
8766,drug_overlap,Syndrome2
9230,drug_overlap,Syndrome2
9886,drug_overlap,Syndrome2
10124,drug_overlap,Syndrome2
22836,drug_overlap,Syndrome2
23221,drug_overlap,Syndrome2
23551,drug_overlap,Syndrome2
26225,drug_overlap,Syndrome2
27289,drug_overlap,Syndrome2
29984,drug_overlap,Syndrome2
51326,drug_overlap,Syndrome2
51655,drug_overlap,Syndrome2
54509,drug_overlap,Syndrome2
58480,drug_overlap,Syndrome2
80117,drug_overlap,Syndrome2
84100,drug_overlap,Syndrome2
115761,drug_overlap,Syndrome2
132946,drug_overlap,Syndrome2
148252,drug_overlap,Syndrome2
220001,drug_overlap,Syndrome2
221079,drug_overlap,Syndrome2
390790,drug_overlap,Syndrome2
727897,drug_overlap,Syndrome2
