No.	Syndrome_id	Gene_id	v00	odd_ratio	P_value	FDR_Bonferroni	FDR_BH	FDR_BY	Relationship	Suppress	SymMap_Syndrome_id
0	100	244	23	3.635483871	0.000445031	1	0.174576099	1	By_herb		SMSY00100
1	100	2349	25	2.415166205	0.020016227	1	0.311202399	1	By_herb		SMSY00100
2	100	436	27	3.412087912	0.002930672	1	0.29164707	1	By_herb		SMSY00100
3	100	480	28	2.953699284	0.013653732	1	0.311202399	1	By_herb		SMSY00100
4	100	547	23	2.74109589	0.005595513	1	0.311202399	1	By_herb		SMSY00100
5	100	1778	24	2.68338558	0.007798312	1	0.311202399	1	By_herb		SMSY00100
6	100	2314	19	2.14516129	0.025341965	1	0.311202399	1	By_herb		SMSY00100
7	100	2747	29	5.783707865	0.000111117	1	0.174576099	1	By_herb		SMSY00100
8	100	2776	27	3.775862069	0.001233072	1	0.195441898	1	By_herb		SMSY00100
9	100	2777	28	5.227794562	0.000105934	1	0.174576099	1	By_herb		SMSY00100
10	100	2865	26	3.236424394	0.00297366	1	0.29164707	1	By_herb		SMSY00100
11	100	3502	28	3.227586207	0.00747365	1	0.311202399	1	By_herb		SMSY00100
12	100	3764	17	2.160248815	0.024525852	1	0.311202399	1	By_herb		SMSY00100
13	100	4074	19	2.049019608	0.033897239	1	0.316351088	1	By_herb		SMSY00100
14	100	6129	28	4.439215686	0.000542623	1	0.174576099	1	By_herb		SMSY00100
15	100	8542	26	2.524934383	0.018760381	1	0.311202399	1	By_herb		SMSY00100
16	100	361	27	2.772727273	0.013702967	1	0.311202399	1	By_herb		SMSY00100
17	100	3877	25	2.083333333	0.049162759	1	0.336351787	1	By_herb		SMSY00100
18	100	6122	26	3.116584565	0.004048558	1	0.311202399	1	By_herb		SMSY00100
19	100	51	25	2.792159763	0.007136709	1	0.311202399	1	By_herb		SMSY00100
20	100	1320	27	7.112903226	9.98036E-07	0.340685624	0.128045266	1	By_herb		SMSY00100
21	100	3193	17	1.973214286	0.042649755	1	0.330247363	1	By_herb		SMSY00100
22	100	637	19	2.720657277	0.004524956	1	0.311202399	1	By_herb		SMSY00100
23	100	4489	17	2.206730769	0.021382763	1	0.311202399	1	By_herb		SMSY00100
24	100	4490	18	2.259459459	0.017925932	1	0.311202399	1	By_herb		SMSY00100
25	100	5536	20	2.780026991	0.003851027	1	0.311202399	1	By_herb		SMSY00100
26	100	636	19	2.798701299	0.003600593	1	0.311202399	1	By_herb		SMSY00100
27	100	139	15	1.973684211	0.045361392	1	0.335457513	1	By_herb		SMSY00100
28	100	2025	17	1.933094714	0.048023174	1	0.336351787	1	By_herb		SMSY00100
29	100	2005	18	2	0.039027132	1	0.324423442	1	By_herb		SMSY00100
30	100	9518	21	5.475806452	3.68872E-06	1	0.128045266	1	By_herb		SMSY00100
31	100	2579	10	2.293265132	0.033773605	1	0.316351088	1	By_herb		SMSY00100
32	100	4022	8	3.403636364	0.007923064	1	0.311202399	1	By_herb		SMSY00100
33	100	2024	19	3.166666667	0.001254651	1	0.195441898	1	By_herb		SMSY00100
34	100	4475	18	3.954362416	0.000165707	1	0.174576099	1	By_herb		SMSY00100
35	100	5791	2	13.69892473	0.021263733	1	0.311202399	1	By_herb		SMSY00100
36	100	1141	24	3.022222222	0.002992674	1	0.29271266	1	By_herb		SMSY00100
37	100	2681	23	2.3	0.02032392	1	0.311202399	1	By_herb		SMSY00100
38	100	3918	25	2.208333333	0.035123426	1	0.316351088	1	By_herb		SMSY00100
39	100	5405	19	2.307715491	0.01550395	1	0.311202399	1	By_herb		SMSY00100
40	100	838	11	2.06	0.049791985	1	0.336351787	1	By_herb		SMSY00100
41	100	2550	18	2.32293578	0.01483093	1	0.311202399	1	By_herb		SMSY00100
42	100	2969	17	2.056766055	0.033305561	1	0.316351088	1	By_herb		SMSY00100
43	100	2580	8	3.037377049	0.013813234	1	0.311202399	1	By_herb		SMSY00100
44	100	1166	7	3.109351433	0.017595642	1	0.311202399	1	By_herb		SMSY00100
45	100	8014	11	2.144628099	0.040790679	1	0.32631869	1	By_herb		SMSY00100
46	100	356	9	3.207089552	0.007522181	1	0.311202399	1	By_herb		SMSY00100
47	100	3944	10	2.877846791	0.010185029	1	0.311202399	1	By_herb		SMSY00100
48	100	193	6	2.869565217	0.034637775	1	0.316351088	1	By_herb		SMSY00100
49	100	272	7	3.247252747	0.014581365	1	0.311202399	1	By_herb		SMSY00100
50	100	971	6	2.740740741	0.040896997	1	0.32631869	1	By_herb		SMSY00100
51	100	1333	7	3.176923077	0.016037204	1	0.311202399	1	By_herb		SMSY00100
52	100	2287	8	3.544150943	0.006468171	1	0.311202399	1	By_herb		SMSY00100
53	100	2482	6	2.869565217	0.034637775	1	0.316351088	1	By_herb		SMSY00100
54	100	2688	6	2.622222222	0.047849982	1	0.336351787	1	By_herb		SMSY00100
55	100	3135	8	3.618461538	0.005822955	1	0.311202399	1	By_herb		SMSY00100
56	100	3579	6	2.803782506	0.037682022	1	0.323947525	1	By_herb		SMSY00100
57	100	4265	6	2.680272109	0.044285487	1	0.330555549	1	By_herb		SMSY00100
58	100	6882	8	3.272982456	0.009616501	1	0.311202399	1	By_herb		SMSY00100
59	100	6883	8	3.211034483	0.010560003	1	0.311202399	1	By_herb		SMSY00100
60	100	8267	8	3.618461538	0.005822955	1	0.311202399	1	By_herb		SMSY00100
61	100	9262	7	3.247252747	0.014581365	1	0.311202399	1	By_herb		SMSY00100
62	100	9951	6	2.740740741	0.040896997	1	0.32631869	1	By_herb		SMSY00100
63	100	569	23	2.448387097	0.013160095	1	0.311202399	1	By_herb		SMSY00100
64	100	2499	13	2.123333333	0.034576453	1	0.316351088	1	By_herb		SMSY00100
65	100	7171	4	4.275862069	0.025402918	1	0.311202399	1	By_herb		SMSY00100
66	100	7113	6	3.424501425	0.017815372	1	0.311202399	1	By_herb		SMSY00100
67	100	1483	18	2.139130435	0.025706404	1	0.311202399	1	By_herb		SMSY00100
68	100	2584	20	2.530197076	0.00810481	1	0.311202399	1	By_herb		SMSY00100
69	100	866	16	2.245876128	0.019848449	1	0.311202399	1	By_herb		SMSY00100
70	100	1618	8	2.305641026	0.047627136	1	0.336351787	1	By_herb		SMSY00100
71	100	2113	7	2.651238592	0.034185699	1	0.316351088	1	By_herb		SMSY00100
72	100	1142	17	2.222524155	0.020410465	1	0.311202399	1	By_herb		SMSY00100
73	100	8093	18	1.947540984	0.045670989	1	0.336351787	1	By_herb		SMSY00100
74	100	2717	22	2.555160142	0.008568281	1	0.311202399	1	By_herb		SMSY00100
75	100	9209	4	8.689655172	0.003398881	1	0.306951107	1	By_herb		SMSY00100
76	100	9210	3	5.233333333	0.032669073	1	0.316351088	1	By_herb		SMSY00100
77	100	9211	4	9.670498084	0.002514716	1	0.287171939	1	By_herb		SMSY00100
78	100	9471	5	7.44047619	0.001903037	1	0.245600433	1	By_herb		SMSY00100
79	100	9473	4	7.887147335	0.004474661	1	0.311202399	1	By_herb		SMSY00100
80	100	4061	5	3.508064516	0.026164028	1	0.311202399	1	By_herb		SMSY00100
81	100	4245	18	1.960493827	0.043933276	1	0.330247363	1	By_herb		SMSY00100
82	100	3938	11	2.144628099	0.040790679	1	0.32631869	1	By_herb		SMSY00100
83	100	2167	8	3.618461538	0.005822955	1	0.311202399	1	By_herb		SMSY00100
84	100	2868	7	2.863636364	0.024928823	1	0.311202399	1	By_herb		SMSY00100
85	100	3501	8	3.403636364	0.007923064	1	0.311202399	1	By_herb		SMSY00100
86	100	3980	8	3.695686275	0.005228781	1	0.311202399	1	By_herb		SMSY00100
87	100	4187	8	2.736716418	0.022488057	1	0.311202399	1	By_herb		SMSY00100
88	100	3005	11	2.080645161	0.047419915	1	0.336351787	1	By_herb		SMSY00100
89	100	875	8	4.231111111	0.002584225	1	0.291616795	1	By_herb		SMSY00100
90	100	6941	9	2.448529412	0.029640576	1	0.311202399	1	By_herb		SMSY00100
91	100	2627	6	2.680272109	0.044285487	1	0.330555549	1	By_herb		SMSY00100
92	100	4225	6	2.622222222	0.047849982	1	0.336351787	1	By_herb		SMSY00100
93	100	5502	7	2.753711201	0.029303881	1	0.311202399	1	By_herb		SMSY00100
94	100	5570	7	2.602564103	0.036823967	1	0.32145187	1	By_herb		SMSY00100
95	100	6807	7	2.701591512	0.031679944	1	0.314987152	1	By_herb		SMSY00100
96	100	8922	7	2.701591512	0.031679944	1	0.314987152	1	By_herb		SMSY00100
97	100	9080	9	2.741883117	0.017042689	1	0.311202399	1	By_herb		SMSY00100
98	100	11662	8	3.211034483	0.010560003	1	0.311202399	1	By_herb		SMSY00100
99	100	3304	13	2.788016529	0.00650079	1	0.311202399	1	By_herb		SMSY00100
100	100	3062	5	3.086734694	0.039606401	1	0.324423442	1	By_herb		SMSY00100
101	100	4159	5	3.630952381	0.023346989	1	0.311202399	1	By_herb		SMSY00100
102	100	2471	11	2.06	0.049791985	1	0.336351787	1	By_herb		SMSY00100
103	100	2189	15	2.819634703	0.00444747	1	0.311202399	1	By_herb		SMSY00100
104	100	10483	12	2.846461949	0.006854974	1	0.311202399	1	By_herb		SMSY00100
105	100	2380	12	3.360983103	0.002258395	1	0.268799409	1	By_herb		SMSY00100
106	100	2193	7	2.602564103	0.036823967	1	0.32145187	1	By_herb		SMSY00100
107	100	9157	10	3.178994918	0.005753711	1	0.311202399	1	By_herb		SMSY00100
108	100	830	11	2.518867925	0.017326178	1	0.311202399	1	By_herb		SMSY00100
109	100	49	6	2.622222222	0.047849982	1	0.336351787	1	By_herb		SMSY00100
110	100	156	7	3.044378698	0.019260411	1	0.311202399	1	By_herb		SMSY00100
111	100	239	8	2.736716418	0.022488057	1	0.311202399	1	By_herb		SMSY00100
112	100	494	6	3.164021164	0.024102259	1	0.311202399	1	By_herb		SMSY00100
113	100	1406	11	3.055555556	0.005521241	1	0.311202399	1	By_herb		SMSY00100
114	100	1426	7	3.646853147	0.008706469	1	0.311202399	1	By_herb		SMSY00100
115	100	1507	6	3.520467836	0.016003732	1	0.311202399	1	By_herb		SMSY00100
116	100	2856	6	3.333333333	0.019765841	1	0.311202399	1	By_herb		SMSY00100
117	100	3042	6	2.938271605	0.031761175	1	0.315537471	1	By_herb		SMSY00100
118	100	3667	9	2.825	0.014647604	1	0.311202399	1	By_herb		SMSY00100
119	100	4493	7	2.863636364	0.024928823	1	0.311202399	1	By_herb		SMSY00100
120	100	4557	6	3.621621622	0.014325941	1	0.311202399	1	By_herb		SMSY00100
121	100	4559	6	3.085271318	0.026497184	1	0.311202399	1	By_herb		SMSY00100
122	100	4733	6	2.803782506	0.037682022	1	0.323947525	1	By_herb		SMSY00100
123	100	5155	8	2.605714286	0.028065027	1	0.311202399	1	By_herb		SMSY00100
124	100	5724	7	2.509925558	0.042508526	1	0.330247363	1	By_herb		SMSY00100
125	100	6912	8	3.211034483	0.010560003	1	0.311202399	1	By_herb		SMSY00100
126	100	7055	7	2.651238592	0.034185699	1	0.316351088	1	By_herb		SMSY00100
